target,text
0,aww bummer shoulda get david carr day
0,upset update facebook texte cry result school today blah
0,dive time ball manage save rest bound
0,body feel itchy like fire
0,behave mad
0,crew
0,need hug
0,hey long time yes rain bit bit lol fine thank
0,nope didn
0,que muera
0,spring break plain city snow
0,pierce ear
0,couldn bear watch think loss embarrassing
0,count idk talk anymore
0,didn gun zac snyder doucheclown
0,wish get watch miss premiere
0,holli death scene hurt severely watch film wry director cut
0,file taxis
0,ahh ve want rent love soundtrack
0,dear drink forget table drink
0,day didn
0,friend call ask meet mid valley todaybut time sigh
0,bake cake ate
0,week go hope
0,blagh class tomorrow
0,hate wake people
0,go cry sleep watch marley
0,sad misslilly
0,ooh lol leslie win leslie win mad
0,meh lover exception track get depressed time
0,some1 hack account aim new
0,want promote gear groove unfornately ride go anaheim
0,think sleep option tomorrow realize evaluation morning work afternoon
0,awe love miss
0,cry asian eye sleep night
0,sick spend hour sit shower cause sick stand hold puke like champ bed
0,ill tell story later good day ill workin like hour
0,sorry bed time come gmt
0,don depressing don think want know kid suitcase
0,bed class work gym class day gon na fly miss girlfriend
0,don feel like get today get study tomorrow practical exam
0,reason teardrop guitar break heart
0,sad sad sad don know hate feeling wanna sleep
0,aww soo wish finally comfortable sad miss
0,fall asleep hear tracy girl body find sad heart break family
0,yay happy job mean time
0,check user timeline blackberry look like twanke happen ppl have prob bgs uid
0,manwas iron fave wear meeting burn
0,strangely sad lilo samro break
0,sorry didn think retweete
0,broadband plan massive broken promise wait broadband
0,wow ton reply unfollow friend tweet scroll feed lot
0,duck chicken take wayy long hatch
0,vacation photo online yrs ago crash forget site
0,need hug
0,sure pos want nt think trade away company asset sorry andy
0,hate happen
0,sad feeling dalla go get ta think show use music game
0,ugh degree tomorrow
0,thought hmm random find glad hear yer
0,miss ps3 commission wutcha playing cop blood sand
0,leave parking lot work
0,life cool
0,sadly get experience post coitus cigarette
0,nice day bad rain come tomorrow 5
0,bad win lose job pay phone bill lmao shuck
0,damm school tomorrow
0,job money hell min wage clam hour
0,forever soon
0,agree see failwhale day today
0,haha dude nt look say hey add sorry terrible need pop
0,sure right need start work nikster jar
0,hate people diss band trace clearly ugly
0,gym attire today puma singlet adidas shortsand black business sock leather shoe lucky run cute girl
0,won location
0,picnic phone smell like citrus
0,donkey sensitive comment glad mug asap charger awol
0,new csi tonight fml
0,think arm sore tennis
0,wonder like unhappy split seccond depress
0,sleep soon hate say bye tomorrow night
0,get newsletter fare unbelievable shame book pay
0,missin boo
0,itm
0,damn don chalk chalkboard useless
0,blast getty villa hate sore throat day get bad
0,hey miss meeting sup mama
0,tummy hurt wonder hypnosis work stop smoke
0,fat one
0,sorry babe fam annoy thankfully asleep right muahaha evil laugh
0,pay attention cover photoshop webpage design class undergrad
0,wednesday day don know
0,poor cameron hill
0,pray threaten start baby 1st birthday party jerk headache
0,hmm enjoy problem constant think thing find ulike
